,Frequency,Coverage,Zero coverage bases,Mapped reads
190,100.0 , 78 , 0 , 2566318
191,100.0 , 77 , 0 , 2566318
192,100.0 , 77 , 0 , 2566318
193,98.5294117647 , 68 , 0 , 2566318
194,98.5294117647 , 68 , 0 , 2566318
195,100.0 , 69 , 0 , 2566318
196,100.0 , 69 , 0 , 2566318
197,97.0149253731 , 67 , 0 , 2566318
198,98.6842105263 , 76 , 0 , 2566318
199,98.0 , 50 , 0 , 2566318
200,98.2456140351 , 57 , 0 , 2566318
201,98.6486486486 , 74 , 0 , 2566318
202,98.6486486486 , 74 , 0 , 2566318
203,100.0 , 56 , 0 , 2566318
204,100.0 , 56 , 0 , 2566318
205,98.7179487179 , 78 , 0 , 2566318
206,100.0 , 72 , 0 , 2566318
207,100.0 , 47 , 0 , 2566318
208,100.0 , 73 , 0 , 2566318
209,100.0 , 75 , 0 , 2566318
210,100.0 , 76 , 0 , 2566318
211,100.0 , 64 , 0 , 2566318
212,100.0 , 64 , 0 , 2566318
213,94.5454545455 , 55 , 0 , 2566318
214,100.0 , 75 , 0 , 2566318
215,100.0 , 48 , 0 , 2566318
216,100.0 , 48 , 0 , 2566318
217,100.0 , 69 , 0 , 2566318
218,98.7179487179 , 78 , 0 , 2566318
219,5.0847457627 , 59 , 0 , 2566318
220,100.0 , 75 , 0 , 2566318
221,98.4375 , 64 , 0 , 2566318
222,98.2142857143 , 56 , 0 , 2566318
223,100.0 , 85 , 0 , 2566318
224,100.0 , 70 , 0 , 2566318
225,100.0 , 64 , 0 , 2566318
226,94.5454545455 , 55 , 0 , 2566318
227,98.8235294118 , 85 , 0 , 4187277
228,98.8235294118 , 85 , 0 , 4187277
229,98.8235294118 , 85 , 0 , 4187277
230,98.8235294118 , 85 , 0 , 4187277
231,98.7654320988 , 81 , 0 , 4187277
232,98.7654320988 , 81 , 0 , 4187277
233,98.7654320988 , 81 , 0 , 4187277
234,98.7654320988 , 81 , 0 , 4187277
235,100.0 , 75 , 0 , 4187277
236,100.0 , 75 , 0 , 4187277
237,5.4794520548 , 73 , 0 , 4187277
238,5.4545454545 , 55 , 0 , 4187277
239,5.4545454545 , 55 , 0 , 4187277
240,5.4545454545 , 55 , 0 , 4187277
241,100.0 , 56 , 0 , 4187277
242,100.0 , 56 , 0 , 4187277
243,100.0 , 51 , 0 , 4187277
244,100.0 , 51 , 0 , 4187277
245,100.0 , 45 , 0 , 4187277
246,100.0 , 45 , 0 , 4187277
247,5.1948051948 , 77 , 0 , 4187277
248,5.1948051948 , 77 , 0 , 4187277
249,12.962962963 , 54 , 0 , 4187277
250,12.962962963 , 54 , 0 , 4187277
251,100.0 , 51 , 0 , 4187277
252,100.0 , 51 , 0 , 4187277
253,5.2631578947 , 57 , 0 , 4187277
254,5.0847457627 , 59 , 0 , 4187277
255,5.7142857143 , 70 , 0 , 4187277
256,5.8823529412 , 68 , 0 , 4187277
257,7.4626865672 , 67 , 0 , 4187277
258,7.4626865672 , 67 , 0 , 4187277
259,7.4626865672 , 67 , 0 , 4187277
260,7.4626865672 , 67 , 0 , 4187277
261,100.0 , 72 , 0 , 4187277
262,100.0 , 72 , 0 , 4187277
263,5.0847457627 , 59 , 0 , 4187277
264,5.0847457627 , 59 , 0 , 4187277
265,100.0 , 60 , 0 , 4187277
266,100.0 , 84 , 0 , 4187277
267,5.2631578947 , 57 , 0 , 4187277
268,5.2631578947 , 57 , 0 , 4187277
269,98.4375 , 64 , 0 , 4187277
270,98.4375 , 64 , 0 , 4187277
271,100.0 , 38 , 0 , 4187277
272,100.0 , 38 , 0 , 4187277
273,5.0632911392 , 79 , 0 , 4187277
274,5.6603773585 , 53 , 0 , 4187277
275,100.0 , 71 , 0 , 4187277
276,100.0 , 71 , 0 , 4187277
277,98.2142857143 , 56 , 0 , 4187277
278,98.2142857143 , 56 , 0 , 4187277
279,6.7796610169 , 59 , 0 , 4187277
280,6.7796610169 , 59 , 0 , 4187277
281,5.0 , 60 , 0 , 4187277
282,5.0 , 60 , 0 , 4187277
283,6.6666666667 , 60 , 0 , 4187277
284,6.6666666667 , 60 , 0 , 4187277
285,7.2463768116 , 69 , 0 , 4187277
286,5.3571428571 , 56 , 0 , 4187277
287,5.3571428571 , 56 , 0 , 4187277
288,5.3571428571 , 56 , 0 , 4187277
289,5.3571428571 , 56 , 0 , 4187277
290,7.5471698113 , 53 , 0 , 4187277
291,7.5471698113 , 53 , 0 , 4187277
292,5.9701492537 , 67 , 0 , 4187277
293,98.8235294118 , 85 , 0 , 4187277
294,98.8235294118 , 85 , 0 , 4187277
295,98.8235294118 , 85 , 0 , 4187277
296,98.8235294118 , 85 , 0 , 4187277
297,98.8235294118 , 85 , 0 , 4187277
298,98.7654320988 , 81 , 0 , 4187277
299,98.7654320988 , 81 , 0 , 4187277
300,98.7654320988 , 81 , 0 , 4187277
301,98.7654320988 , 81 , 0 , 4187277
302,98.7654320988 , 81 , 0 , 4187277
303,100.0 , 75 , 0 , 4187277
304,100.0 , 75 , 0 , 4187277
305,6.1538461538 , 65 , 0 , 4187277
306,6.1538461538 , 65 , 0 , 4187277
307,98.7804878049 , 82 , 0 , 4187277
308,5.2631578947 , 57 , 0 , 4187277
309,100.0 , 75 , 0 , 4187277
310,100.0 , 59 , 0 , 4187277
311,100.0 , 59 , 0 , 4187277
312,98.6301369863 , 73 , 0 , 4187277
313,100.0 , 73 , 0 , 4187277
314,100.0 , 78 , 0 , 4187277
315,100.0 , 88 , 0 , 4187277
316,100.0 , 88 , 0 , 4187277
317,82.0512820513 , 78 , 0 , 4187277
318,5.9523809524 , 84 , 0 , 4187277
319,5.9523809524 , 84 , 0 , 4187277
320,5.9523809524 , 84 , 0 , 4187277
321,5.9523809524 , 84 , 0 , 4187277
322,5.9523809524 , 84 , 0 , 4187277
323,5.9523809524 , 84 , 0 , 4187277
324,5.9523809524 , 84 , 0 , 4187277
325,5.3571428571 , 56 , 0 , 4187277
326,5.3571428571 , 56 , 0 , 4187277
327,5.3571428571 , 56 , 0 , 4187277
328,5.3571428571 , 56 , 0 , 4187277
329,5.3571428571 , 56 , 0 , 4187277
330,5.1020408163 , 98 , 0 , 4187277
331,5.1020408163 , 98 , 0 , 4187277
332,5.1020408163 , 98 , 0 , 4187277
333,5.1020408163 , 98 , 0 , 4187277
334,5.1020408163 , 98 , 0 , 4187277
335,5.0505050505 , 99 , 0 , 4187277
336,5.0505050505 , 99 , 0 , 4187277
337,5.0505050505 , 99 , 0 , 4187277
338,5.0505050505 , 99 , 0 , 4187277
339,5.0505050505 , 99 , 0 , 4187277
340,5.6603773585 , 53 , 0 , 4187277
341,5.6603773585 , 53 , 0 , 4187277
342,5.0 , 80 , 0 , 4187277
343,8.3333333333 , 84 , 0 , 4187277
344,100.0 , 52 , 0 , 4187277
345,6.6666666667 , 60 , 0 , 4187277
346,100.0 , 58 , 0 , 4187277
347,100.0 , 58 , 0 , 4187277
348,6.1224489796 , 98 , 0 , 4187277
349,6.1224489796 , 98 , 0 , 4187277
350,6.0 , 50 , 0 , 4187277
351,5.6338028169 , 71 , 0 , 4187277
352,5.3333333333 , 75 , 0 , 4187277
353,7.5 , 40 , 0 , 4187277
354,7.9365079365 , 63 , 0 , 4187277
355,7.9365079365 , 63 , 0 , 4187277
356,7.9365079365 , 63 , 0 , 4187277
357,7.9365079365 , 63 , 0 , 4187277
358,7.9365079365 , 63 , 0 , 4187277
359,7.9365079365 , 63 , 0 , 4187277
360,6.3829787234 , 47 , 0 , 4187277
361,6.0606060606 , 66 , 0 , 4187277
362,5.0847457627 , 59 , 0 , 4187277
363,7.1428571429 , 56 , 0 , 4187277
364,98.5294117647 , 68 , 0 , 4187277
365,100.0 , 48 , 0 , 4187277
366,6.5573770492 , 61 , 0 , 4187277
367,98.5074626866 , 67 , 0 , 4187277
368,5.8823529412 , 51 , 0 , 4187277
369,100.0 , 56 , 0 , 4187277
370,100.0 , 73 , 0 , 4187277
371,100.0 , 47 , 0 , 4187277
372,98.5915492958 , 71 , 0 , 4187277
373,100.0 , 77 , 0 , 4187277
374,98.6301369863 , 73 , 0 , 4187277
375,100.0 , 73 , 0 , 4187277
376,82.0512820513 , 78 , 0 , 4187277
377,98.5074626866 , 67 , 0 , 4187277
378,100.0 , 73 , 0 , 4187277
379,98.5915492958 , 71 , 0 , 4187277
380,100.0 , 77 , 0 , 4187277
381,100.0 , 56 , 0 , 4187277
382,100.0 , 56 , 0 , 4187277
383,100.0 , 51 , 0 , 4187277
384,100.0 , 51 , 0 , 4187277
385,100.0 , 45 , 0 , 4187277
386,100.0 , 45 , 0 , 4187277
387,100.0 , 51 , 0 , 4187277
388,100.0 , 51 , 0 , 4187277
389,100.0 , 72 , 0 , 4187277
390,100.0 , 72 , 0 , 4187277
391,5.0847457627 , 59 , 0 , 4187277
392,5.0847457627 , 59 , 0 , 4187277
393,100.0 , 60 , 0 , 4187277
394,100.0 , 84 , 0 , 4187277
395,98.4375 , 64 , 0 , 4187277
396,100.0 , 38 , 0 , 4187277
397,100.0 , 71 , 0 , 4187277
398,100.0 , 71 , 0 , 4187277
399,98.2142857143 , 56 , 0 , 4187277
400,98.2142857143 , 56 , 0 , 4187277
401,98.7804878049 , 82 , 0 , 4187277
402,100.0 , 75 , 0 , 4187277
403,100.0 , 59 , 0 , 4187277
404,98.6301369863 , 73 , 0 , 4187277
405,100.0 , 73 , 0 , 4187277
406,100.0 , 78 , 0 , 4187277
407,100.0 , 88 , 0 , 4187277
408,100.0 , 88 , 0 , 4187277
409,82.0512820513 , 78 , 0 , 4187277
410,5.9523809524 , 84 , 0 , 4187277
411,5.9523809524 , 84 , 0 , 4187277
412,5.9523809524 , 84 , 0 , 4187277
413,100.0 , 52 , 0 , 4187277
414,100.0 , 58 , 0 , 4187277
415,100.0 , 58 , 0 , 4187277
416,98.5294117647 , 68 , 0 , 4187277
417,100.0 , 48 , 0 , 4187277
418,98.5074626866 , 67 , 0 , 4187277
419,100.0 , 56 , 0 , 4187277
420,100.0 , 73 , 0 , 4187277
421,100.0 , 47 , 0 , 4187277
422,98.5915492958 , 71 , 0 , 4187277
423,100.0 , 77 , 0 , 4187277
424,7.4626865672 , 67 , 0 , 4187277
425,7.4626865672 , 67 , 0 , 4187277
426,7.5471698113 , 53 , 0 , 4187277
427,7.5471698113 , 53 , 0 , 4187277
428,82.0512820513 , 78 , 0 , 4187277
429,5.6603773585 , 53 , 0 , 4187277
430,5.6603773585 , 53 , 0 , 4187277
431,90.4761904762 , 42 , 0 , 263384
432,90.4761904762 , 42 , 0 , 263384
433,90.4761904762 , 42 , 0 , 263384
434,90.4761904762 , 42 , 0 , 263384
435,90.4761904762 , 42 , 0 , 263384
436,90.4761904762 , 42 , 0 , 263384
437,90.4761904762 , 42 , 0 , 263384
438,90.4761904762 , 42 , 0 , 263384
439,90.625 , 32 , 0 , 263384
440,90.625 , 32 , 0 , 263384
441,90.625 , 32 , 0 , 263384
442,90.625 , 32 , 0 , 263384
443,86.6666666667 , 15 , 0 , 263384
444,86.6666666667 , 15 , 0 , 263384
445,86.6666666667 , 15 , 0 , 263384
446,86.6666666667 , 15 , 0 , 263384
447,86.9565217391 , 23 , 0 , 263384
448,86.9565217391 , 23 , 0 , 263384
449,86.9565217391 , 23 , 0 , 263384
450,86.9565217391 , 23 , 0 , 263384
451,80.0 , 15 , 0 , 263384
452,80.0 , 15 , 0 , 263384
453,80.0 , 15 , 0 , 263384
454,80.0 , 15 , 0 , 263384
455,99.0054249548 , 1106 , 0 , 263384
456,99.2211838006 , 1284 , 0 , 263384
457,99.2211838006 , 1284 , 0 , 263384
458,99.2211838006 , 1284 , 0 , 263384
459,99.0896358543 , 1428 , 0 , 263384
460,99.0896358543 , 1428 , 0 , 263384
461,99.0896358543 , 1428 , 0 , 263384
462,99.0896358543 , 1428 , 0 , 263384
463,99.3838570548 , 1623 , 0 , 263384
464,99.3838570548 , 1623 , 0 , 263384
465,99.3838570548 , 1623 , 0 , 263384
466,99.3838570548 , 1623 , 0 , 263384
467,99.3226600985 , 1624 , 0 , 263384
468,99.3226600985 , 1624 , 0 , 263384
469,99.3226600985 , 1624 , 0 , 263384
470,99.3226600985 , 1624 , 0 , 263384
471,99.4490358127 , 1815 , 0 , 263384
472,99.4490358127 , 1815 , 0 , 263384
473,99.4490358127 , 1815 , 0 , 263384
474,99.4490358127 , 1815 , 0 , 263384
475,99.7576736672 , 2476 , 0 , 263384
476,99.7576736672 , 2476 , 0 , 263384
477,99.7576736672 , 2476 , 0 , 263384
478,99.7576736672 , 2476 , 0 , 263384
479,99.3467336683 , 1990 , 0 , 263384
480,99.3467336683 , 1990 , 0 , 263384
481,99.3467336683 , 1990 , 0 , 263384
482,99.3467336683 , 1990 , 0 , 263384
483,99.6685082873 , 1810 , 0 , 263384
484,99.6685082873 , 1810 , 0 , 263384
485,99.6685082873 , 1810 , 0 , 263384
486,99.6685082873 , 1810 , 0 , 263384
487,99.4851258581 , 1748 , 0 , 263384
488,99.4851258581 , 1748 , 0 , 263384
489,99.4851258581 , 1748 , 0 , 263384
490,99.4851258581 , 1748 , 0 , 263384
491,99.5997712979 , 1749 , 0 , 263384
492,99.5997712979 , 1749 , 0 , 263384
493,99.5997712979 , 1749 , 0 , 263384
494,99.5997712979 , 1749 , 0 , 263384
495,99.8243559719 , 1708 , 0 , 263384
496,99.8243559719 , 1708 , 0 , 263384
497,99.8243559719 , 1708 , 0 , 263384
498,99.5266272189 , 1690 , 0 , 263384
499,99.5266272189 , 1690 , 0 , 263384
500,99.5266272189 , 1690 , 0 , 263384
501,99.5266272189 , 1690 , 0 , 263384
502,99.3345432547 , 1653 , 0 , 263384
503,99.3345432547 , 1653 , 0 , 263384
504,99.3345432547 , 1653 , 0 , 263384
505,99.5521433141 , 1563 , 0 , 263384
506,99.5521433141 , 1563 , 0 , 263384
507,99.5521433141 , 1563 , 0 , 263384
508,99.5521433141 , 1563 , 0 , 263384
509,99.6161228407 , 1563 , 0 , 263384
510,99.6161228407 , 1563 , 0 , 263384
511,99.6161228407 , 1563 , 0 , 263384
512,99.4781474234 , 1533 , 0 , 263384
513,99.4781474234 , 1533 , 0 , 263384
514,99.4781474234 , 1533 , 0 , 263384
515,99.4781474234 , 1533 , 0 , 263384
516,99.01071723 , 1213 , 0 , 263384
517,99.01071723 , 1213 , 0 , 263384
518,99.01071723 , 1213 , 0 , 263384
519,99.01071723 , 1213 , 0 , 263384
520,99.341563786 , 1215 , 0 , 263384
521,99.5685936152 , 1159 , 0 , 263384
522,99.5685936152 , 1159 , 0 , 263384
523,99.5685936152 , 1159 , 0 , 263384
524,99.5685936152 , 1159 , 0 , 263384
525,99.3288590604 , 1043 , 0 , 263384
526,99.3288590604 , 1043 , 0 , 263384
527,99.3288590604 , 1043 , 0 , 263384
528,91.935483871 , 62 , 0 , 263384
529,91.935483871 , 62 , 0 , 263384
530,91.935483871 , 62 , 0 , 263384
531,91.935483871 , 62 , 0 , 263384
532,6.1538461538 , 65 , 0 , 263384
533,6.1538461538 , 65 , 0 , 263384
534,6.1538461538 , 65 , 0 , 263384
535,6.1538461538 , 65 , 0 , 263384
536,94.6666666667 , 75 , 0 , 263384
537,94.6666666667 , 75 , 0 , 263384
538,94.6666666667 , 75 , 0 , 263384
539,94.6666666667 , 75 , 0 , 263384
540,94.5945945946 , 74 , 0 , 263384
541,94.5945945946 , 74 , 0 , 263384
542,94.5945945946 , 74 , 0 , 263384
543,94.5945945946 , 74 , 0 , 263384
544,90.0 , 50 , 0 , 263384
545,90.0 , 50 , 0 , 263384
546,90.0 , 50 , 0 , 263384
547,90.0 , 50 , 0 , 263384
548,89.1304347826 , 46 , 0 , 263384
549,89.1304347826 , 46 , 0 , 263384
550,89.1304347826 , 46 , 0 , 263384
551,89.1304347826 , 46 , 0 , 263384
552,89.1304347826 , 46 , 0 , 263384
553,89.1304347826 , 46 , 0 , 263384
554,89.1304347826 , 46 , 0 , 263384
555,89.1304347826 , 46 , 0 , 263384
556,40.0 , 10 , 0 , 263384
557,40.0 , 10 , 0 , 263384
558,40.0 , 10 , 0 , 263384
559,40.0 , 10 , 0 , 263384
560,50.0 , 10 , 0 , 263384
561,50.0 , 10 , 0 , 263384
562,50.0 , 10 , 0 , 263384
563,50.0 , 10 , 0 , 263384
564,98.6880466472 , 686 , 0 , 263384
565,98.6880466472 , 686 , 0 , 263384
566,98.6880466472 , 686 , 0 , 263384
567,98.6880466472 , 686 , 0 , 263384
568,97.7542932629 , 757 , 0 , 263384
569,97.7542932629 , 757 , 0 , 263384
570,97.7542932629 , 757 , 0 , 263384
571,97.7542932629 , 757 , 0 , 263384
572,98.814229249 , 759 , 0 , 263384
573,98.814229249 , 759 , 0 , 263384
574,98.814229249 , 759 , 0 , 263384
575,98.4969053935 , 1131 , 0 , 263384
576,98.4969053935 , 1131 , 0 , 263384
577,98.4969053935 , 1131 , 0 , 263384
578,98.4969053935 , 1131 , 0 , 263384
579,99.5702885206 , 1629 , 0 , 263384
580,99.5702885206 , 1629 , 0 , 263384
581,99.5702885206 , 1629 , 0 , 263384
582,99.5702885206 , 1629 , 0 , 263384
583,99.3212669683 , 1768 , 0 , 263384
584,99.3212669683 , 1768 , 0 , 263384
585,99.3212669683 , 1768 , 0 , 263384
586,99.3212669683 , 1768 , 0 , 263384
587,99.604743083 , 1771 , 0 , 263384
588,99.604743083 , 1771 , 0 , 263384
589,99.604743083 , 1771 , 0 , 263384
590,99.604743083 , 1771 , 0 , 263384
591,99.7215777262 , 2155 , 0 , 263384
592,99.7215777262 , 2155 , 0 , 263384
593,99.7215777262 , 2155 , 0 , 263384
594,99.7215777262 , 2155 , 0 , 263384
595,99.3926247289 , 2305 , 0 , 263384
596,99.3926247289 , 2305 , 0 , 263384
597,99.3926247289 , 2305 , 0 , 263384
598,99.3926247289 , 2305 , 0 , 263384
599,99.6535296665 , 2309 , 0 , 263384
600,99.6535296665 , 2309 , 0 , 263384
601,99.6535296665 , 2309 , 0 , 263384
602,99.6535296665 , 2309 , 0 , 263384
603,99.7798326728 , 2271 , 0 , 263384
604,99.7798326728 , 2271 , 0 , 263384
605,99.7798326728 , 2271 , 0 , 263384
606,99.7798326728 , 2271 , 0 , 263384
607,99.678751721 , 2179 , 0 , 263384
608,99.678751721 , 2179 , 0 , 263384
609,99.678751721 , 2179 , 0 , 263384
610,99.678751721 , 2179 , 0 , 263384
611,99.8605947955 , 2152 , 0 , 263384
612,99.8605947955 , 2152 , 0 , 263384
613,99.8605947955 , 2152 , 0 , 263384
614,99.8605947955 , 2152 , 0 , 263384
615,99.3048659384 , 2014 , 0 , 263384
616,99.3048659384 , 2014 , 0 , 263384
617,99.3048659384 , 2014 , 0 , 263384
618,99.3048659384 , 2014 , 0 , 263384
619,99.6029776675 , 2015 , 0 , 263384
620,99.6029776675 , 2015 , 0 , 263384
621,99.6029776675 , 2015 , 0 , 263384
622,99.6029776675 , 2015 , 0 , 263384
623,99.6251561849 , 2401 , 0 , 263384
624,99.6251561849 , 2401 , 0 , 263384
625,99.6251561849 , 2401 , 0 , 263384
626,99.6251561849 , 2401 , 0 , 263384
627,99.7532894737 , 2432 , 0 , 263384
628,99.7532894737 , 2432 , 0 , 263384
629,99.7532894737 , 2432 , 0 , 263384
630,99.7532894737 , 2432 , 0 , 263384
631,99.6414342629 , 2510 , 0 , 263384
632,99.6414342629 , 2510 , 0 , 263384
633,99.6414342629 , 2510 , 0 , 263384
634,99.6414342629 , 2510 , 0 , 263384
635,99.6851633215 , 2541 , 0 , 263384
636,99.6851633215 , 2541 , 0 , 263384
637,99.6851633215 , 2541 , 0 , 263384
638,99.6851633215 , 2541 , 0 , 263384
639,99.6920708237 , 2598 , 0 , 263384
640,99.6920708237 , 2598 , 0 , 263384
